dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,0.5,FedRecovery-proxy,3,0.5110795454545455,0.014416466124658158,0.7599701429036824,0.02022160321135781,0.018341155665694067,0.016088462122971447,0.04392902827424256,0.0008689077326033386,0.0013845693223023,0.00018782724004818711,0.40285507776795315,0.05414595467024243,1.0,0.0,0.8995555555555556,0.01341972984463103
German Credit,0.5,Starfish-proxy,3,0.5110795454545455,0.014416466124658158,0.7597711434470275,0.02090810492564081,0.0184740905916238,0.016072312606065075,0.04022571251372576,0.0010524377105802967,0.0012671666724296334,8.702914167675756e-05,0.36880902054759446,0.027533340458877436,0.9848740740740741,0.005580472634132456,0.6915333333333332,0.02953228068352277
German Credit,0.5,MA-ABE-FU,3,0.5110795454545455,0.014416466124658158,0.760288392655936,0.02138458537201998,0.01859814081182967,0.01620579725868421,0.0454282006035873,0.0008435249112498464,0.0014545973293327668,1.1512118601160276e-05,0.42326943874352513,0.00334210809831878,0.6213888888888889,0.032308271004630414,0.5079851851851852,0.027743225971058365
German Credit,0.5,Oracle-Retrain,3,0.5037878787878788,0.007424242424242417,0.7570477065463753,0.02816914234597736,0.022989388729532403,0.017268760857411997,0.0,0.0,0.0034366109951709,2.1731770249617484e-05,1.0,0.0,1.0,0.0,0.9024148148148147,0.012383421835307312
German Credit,1.0,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.02616213551849007,0.004668281727928741,0.12260660499206548,0.0026894263601389043,0.003632986006171667,8.866455409790076e-05,1.1072502095524577,0.023534072189400443,1.0,0.0,0.9224333333333332,0.004634575138677662
German Credit,1.0,SISA-Retrain,3,0.5,0.0,0.7423461393764064,0.020257416381479314,0.02959858597234873,0.004470292162225607,0.13291750309288683,0.002233125628582031,0.0017808890067195667,7.798110590690146e-05,0.5425244847403943,0.003173010417046531,1.0,0.0,0.9229629629629629,0.00668121652426941
German Credit,1.0,FedEraser-proxy,3,0.5,0.0,0.7525524656319633,0.024654435361232217,0.02802058524541857,0.011305993177526041,0.0003186070926059,0.000624469901507564,0.0031065556686371335,0.00022530426206420162,0.9476928855660463,0.08705406699594133,1.0,0.0,0.9058074074074075,0.010949367208228575
German Credit,1.0,FedRecovery-proxy,3,0.5079545454545454,0.0078219247559058,0.7606522367137609,0.022312361164180755,0.027194052568884564,0.007244899639433123,0.07055596351974043,0.00232627973436751,0.0012296386606369999,5.936321340529669e-05,0.37456488791520665,0.004887306281952092,1.0,0.0,0.9214888888888889,0.013369007478295924
German Credit,1.0,Starfish-proxy,3,0.5079545454545454,0.0078219247559058,0.7603741113700231,0.02129600636018371,0.02692010385801193,0.0069306359024161384,0.07336290329664101,0.0022457203356065405,0.0011617223402329666,3.86943730845886e-05,0.3539902791061758,0.004394501010029099,0.995637037037037,0.000800792049611818,0.7076037037037036,0.017088758859657167
German Credit,1.0,MA-ABE-FU,3,0.5079545454545454,0.0078219247559058,0.7610640006906019,0.022964328813820722,0.027269170982057,0.007644491095192272,0.06995260184444986,0.002308684654572712,0.0014414583177615667,6.539623678191278e-05,0.4399322400623027,0.03785246035047171,0.6289666666666668,0.011343302816282949,0.5353851851851852,0.01272417698411892
