dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
German Credit,11,0.25,SISA-Retrain,12,12,52,103,0.797979797979798,0.5,0.7387658227848102,0.5,0.719622641509434,0.4510828976848394,0.0489171023151605,0.117642132737777,0.0017713749839458,0.5411533063148993,1.0,0.8853111111111112,0.5125
German Credit,11,0.25,FedEraser-proxy,12,12,52,103,0.8080808080808081,0.525,0.7367088607594937,0.5,0.7392452830188679,0.4426811053024645,0.0573188946975354,0.0,0.0034839170111808,1.0643332025201977,1.0,0.8981111111111111,0.5125
German Credit,11,0.25,FedRecovery-proxy,12,12,52,103,0.8080808080808081,0.525,0.742879746835443,0.5,0.7422641509433963,0.4553771471247199,0.04462285287528,0.0461942996760802,0.0012546250072773,0.3832866993306515,1.0,0.8874444444444445,0.5125
German Credit,11,0.25,Starfish-proxy,12,12,52,103,0.8080808080808081,0.525,0.7431962025316455,0.5,0.7415094339622641,0.4548170276325616,0.0451829723674384,0.0412737996906947,0.0011526250164024,0.3521258029612753,0.9788,0.6282888888888889,0.5125
German Credit,11,0.25,MA-ABE-FU,12,12,52,103,0.8080808080808081,0.525,0.7433544303797468,0.5,0.7430188679245283,0.4550037341299477,0.0449962658700522,0.0479883049065132,0.0013748749915976,0.4200229506546166,0.6117444444444444,0.5118111111111111,0.5125
German Credit,11,0.25,Oracle-Retrain,12,12,52,103,0.8080808080808081,0.525,0.7367088607594937,0.5,0.7392452830188679,0.4426811053024645,0.0573188946975354,0.0,0.003273333015386,1.0,1.0,0.9064555555555556,0.5125
German Credit,11,0.5,FedAvg-Full,12,11,103,103,0.803030303030303,0.5125,0.7427215189873417,0.5,0.7316981132075472,0.4822320671128287,0.0177679328871712,0.0485269030457646,0.0035625419986899,1.0359614720336847,1.0,0.8978666666666667,0.5125
German Credit,11,0.5,SISA-Retrain,12,11,103,103,0.797979797979798,0.5,0.7329113924050633,0.5,0.7226415094339622,0.4766707512489396,0.0233292487510604,0.1211935318826301,0.0018677499901968,0.5431282017017008,1.0,0.8979888888888888,0.5125
German Credit,11,0.5,FedEraser-proxy,12,11,103,103,0.797979797979798,0.5,0.7308544303797468,0.5,0.7350943396226415,0.4693185031576963,0.0306814968423037,0.0001157174531814,0.0031988749979063,0.9302097358856208,1.0,0.8878333333333334,0.5125
German Credit,11,0.5,FedRecovery-proxy,12,11,103,103,0.8080808080808081,0.525,0.7422468354430379,0.5,0.7392452830188679,0.4802526157036478,0.0197473842963521,0.0430707691168876,0.0015747079742141,0.4579137008321298,1.0,0.9011555555555556,0.5125
German Credit,11,0.5,Starfish-proxy,12,11,103,103,0.8080808080808081,0.525,0.7416139240506329,0.5,0.7373584905660377,0.4802526157036478,0.0197473842963521,0.0392160160627014,0.0012214580201543,0.3551911666028895,0.9801777777777778,0.6628,0.5125
German Credit,11,0.5,MA-ABE-FU,12,11,103,103,0.8080808080808081,0.525,0.7417721518987341,0.5,0.7384905660377359,0.4798755773399943,0.0201244226600056,0.0446085409130705,0.0014657919819001,0.4262417172408887,0.6331666666666667,0.4854111111111111,0.5125
German Credit,11,0.5,Oracle-Retrain,12,11,103,103,0.797979797979798,0.5,0.7311708860759494,0.5,0.7350943396226415,0.4693185031576963,0.0306814968423037,0.0,0.0034388749918434,1.0,1.0,0.9149888888888889,0.5125
