dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,0.5,FedRecovery-proxy,3,0.5110795454545455,0.014416466124658158,0.7599701429036824,0.02022160321135781,0.01834115566569411,0.01608846212297144,0.043929028274242644,0.0008689077326033356,0.0013845693223023166,0.00018782724004817494,0.40285507776795315,0.05414595467024246,1.0,0.0,0.907511111111111,0.004096152421289533
German Credit,0.5,Starfish-proxy,3,0.5110795454545455,0.014416466124658158,0.7597711434470275,0.02090810492564081,0.018474090591623842,0.016072312606065113,0.0402257125137258,0.001052437710580307,0.0012671666724296908,8.702914167678293e-05,0.36880902054759446,0.027533340458877474,0.9867851851851852,0.006350221420375203,0.6810814814814815,0.03360120410965439
German Credit,0.5,MA-ABE-FU,3,0.5110795454545455,0.014416466124658158,0.760288392655936,0.02138458537201998,0.018598140811829717,0.016205797258684252,0.04542820060358735,0.0008435249112498264,0.0014545973293328036,1.1512118601139976e-05,0.42326943874352513,0.003342108098318749,0.6138703703703704,0.03943180517067195,0.5159111111111111,0.03367598224278635
German Credit,0.5,Oracle-Retrain,3,0.5037878787878788,0.007424242424242417,0.7570477065463753,0.02816914234597736,0.022989388729532417,0.017268760857411983,0.0,0.0,0.003436610995170971,2.173177024962809e-05,1.0,0.0,1.0,0.0,0.9007148148148149,0.0073183738972065595
German Credit,1.0,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.026162135518490132,0.0046682817279287536,0.12260660499206553,0.002689426360138878,0.003632986006171753,8.866455409789851e-05,1.1072502095524575,0.023534072189400297,1.0,0.0,0.9246185185185185,0.0043787476371314575
German Credit,1.0,SISA-Retrain,3,0.5,0.0,0.7423461393764064,0.020257416381479314,0.029598585972348806,0.004470292162225572,0.13291750309288686,0.0022331256285819875,0.0017808890067196141,7.798110590693699e-05,0.5425244847403943,0.003173010417046531,1.0,0.0,0.9248629629629629,0.011769072814757617
German Credit,1.0,FedEraser-proxy,3,0.5,0.0,0.7525524656319633,0.024654435361232217,0.0280205852454186,0.011305993177526017,0.0003186070926059275,0.0006244699015076178,0.0031065556686371565,0.00022530426206421192,0.9476928855660463,0.0870540669959413,1.0,0.0,0.9218518518518518,0.017412711509010356
German Credit,1.0,FedRecovery-proxy,3,0.5079545454545454,0.0078219247559058,0.7606522367137609,0.022312361164180755,0.027194052568884613,0.007244899639433119,0.07055596351974046,0.002326279734367478,0.0012296386606370409,5.936321340529441e-05,0.37456488791520665,0.0048873062819521276,1.0,0.0,0.9210814814814815,0.008807501035542604
German Credit,1.0,Starfish-proxy,3,0.5079545454545454,0.0078219247559058,0.7603741113700231,0.02129600636018371,0.026920103858011968,0.006930635902416141,0.07336290329664102,0.002245720335606566,0.001161722340233003,3.8694373084564815e-05,0.3539902791061758,0.004394501010029063,0.9973111111111111,0.001049484043328778,0.7089185185185185,0.028726645403478197
German Credit,1.0,MA-ABE-FU,3,0.5079545454545454,0.0078219247559058,0.7610640006906019,0.022964328813820722,0.02726917098205704,0.007644491095192254,0.06995260184444987,0.0023086846545727255,0.0014414583177616198,6.539623678187047e-05,0.4399322400623027,0.0378524603504717,0.6046592592592592,0.014411845636115908,0.5087592592592592,0.005224251396678091
